x,y,z,T
107.5,31.2,293,28
118.58,31.15,22,26.1
116.95,31.07,65,25.6
110.37,31.03,974,26.4
102.35,31,2294,17.7
101.12,30.98,2959,14.3
106.1,30.78,283,28.5
115.67,30.73,136,26.4
107.8,30.68,465,26.8
111.3,30.7,70,25.8
118.98,30.62,58,25.7
117.05,30.53,17,26.1
109.47,30.28,433,26
115.05,30.25,21,27.3
118.15,30.13,1604,16.6
96.92,30.05,3487,18.4
118.28,29.72,127,26.2
91.13,29.67,3655,17.6
106.47,29.58,242,28.2
111.37,29.58,99,27
109.42,29.52,463,25.1
113.08,29.38,7,27.1
102.68,29.35,792,23.1
88.88,29.25,3854,16.8
119.65,29.12,51,27.2
114.58,29.03,102,26.4
111.68,29.05,33,26.3
118.9,29,74,26.8
121.13,28.85,14,26.5
104.6,28.8,337,27.2
108.77,28.83,726,22.9
105.38,28.78,266,26.2
97.47,28.65,2944,18.8
106.22,28.33,1157,21.9
109.73,28.32,202,25.6
119.13,28.07,196,26.1
121.27,28.08,7,25.4
102.85,28,2078,17.7
101.27,27.93,2271,18
99.7,27.83,3285,13.5
114.38,27.8,96,26.5
120.65,27.78,5,27.2
98.67,27.75,1560,20.9
103.72,27.35,1941,18.6
117.47,27.33,271,26.5
105.28,27.3,1484,20.8
112.7,27.3,721,19.4
99.28,27.17,2476,18.1
118.32,27.05,145,27.1
112.6,26.9,70,27.2
117.17,26.9,294,25.7
118.98,26.92,850,23.2
101.27,26.63,1166,24.1
103.28,26.42,2110,16.9
114.5,26.33,107,27.4
105.9,26.25,1409,21.3
109.78,26.17,399,24.9
108.53,25.97,263,25.9
117.35,25.97,201,27.4
115,25.87,137,27.8
101.87,25.73,1154,25.3
111.6,25.53,165,26.8
105.18,25.43,1357,21.7
106.77,25.43,382,26
110.3,25.32,152,27.3
101.55,25.03,1813,20.7
118.92,24.9,18,27.1
103.77,24.53,1720,20.1
117.65,24.5,8,29
111.53,24.42,110,27.1
109.4,24.35,96,28.1
105.07,24.07,1249,22.7
108.1,23.93,158,28
115.77,23.93,109,28.2
109.23,23.75,82,28.2
107.12,23.6,115,28.2
110.08,23.4,43,27.9
116.68,23.4,8,29.1
104.25,23.38,1260,22.5
113.83,23.33,7,28.5
106.42,23.13,742,25.4
116.3,23.03,4,28.8
103.68,22.98,1361,21.8
101.85,22.58,1201,22.8
108.35,21.78,19,27.9
112.77,21.73,39,29
107.97,21.53,8,27.6
110.18,20.33,64,28.8
110.47,19.23,18,28.8
110.03,18.5,8,27.7
